1	194	-1
1	199	1
2	237	1
3	358	-1
3	454	-1
3	473	-1
4	8	1
4	20	1
4	74	1
4	107	1
4	144	1
4	398	1
4	423	1
4	447	1
4	479	1
4	480	1
4	534	1
4	608	1
5	298	1
5	300	1
6	82	-1
6	118	1
6	159	1
6	256	1
6	470	1
7	236	1
7	237	1
7	495	1
7	496	1
8	24	1
8	67	1
8	618	-1
9	457	1
9	540	1
9	545	1
10	209	1
10	682	1
11	58	1
12	682	1
13	682	1
14	209	1
14	682	1
15	58	1
16	58	1
16	209	1
17	209	1
17	682	1
18	58	1
19	209	1
19	682	1
20	24	1
20	60	-1
20	61	-1
20	71	-1
20	210	1
20	422	-1
20	454	1
20	523	1
21	24	1
21	71	1
21	513	1
21	523	1
21	541	1
21	544	-1
21	576	1
22	674	1
23	298	1
24	114	1
24	187	1
24	233	1
24	394	1
24	423	1
25	557	1
26	557	1
27	516	1
27	626	1
28	361	1
28	362	1
29	361	1
29	362	1
30	199	1
30	353	1
30	559	1
30	610	-1
30	689	1
31	199	1
31	562	-1
32	358	-1
32	473	-1
32	610	-1
33	210	1
34	361	1
34	362	1
35	209	1
35	681	-1
36	209	1
37	209	1
37	681	-1
38	209	1
39	209	1
39	335	1
39	681	-1
40	209	1
41	209	1
41	681	-1
42	46	1
43	209	1
44	209	1
45	209	1
46	47	1
48	365	1
48	574	1
49	209	1
49	237	1
49	238	1
49	685	1
49	686	1
50	209	1
51	221	1
52	221	1
53	221	1
54	221	1
55	456	1
56	563	1
57	513	1
57	557	1
57	610	-1
57	618	-1
58	252	1
59	557	1
59	579	1
60	181	1
60	256	1
61	181	1
61	197	-1
61	256	1
62	136	-1
62	221	1
63	335	1
63	454	1
63	618	-1
63	681	1
64	335	-1
64	557	1
64	579	1
64	618	-1
64	681	-1
64	683	-1
65	372	1
66	67	1
67	288	-1
67	305	-1
67	337	1
67	356	-1
67	357	-1
68	128	1
68	200	1
68	344	1
68	345	1
68	346	-1
68	348	-1
68	352	1
68	447	-1
68	499	1
68	598	1
69	456	1
70	516	1
70	626	1
71	544	-1
72	572	1
73	572	1
74	454	1
74	457	1
74	618	-1
74	684	1
75	333	1
76	333	1
77	194	-1
78	125	-1
78	194	-1
79	626	1
80	335	1
81	125	-1
82	333	1
82	574	1
83	333	1
84	333	1
85	299	1
86	87	1
88	299	1
88	618	1
89	299	1
89	618	1
90	557	1
91	308	1
91	557	1
92	160	1
93	494	1
93	495	1
93	685	1
94	494	1
94	495	1
95	299	1
96	335	1
97	180	-1
97	335	1
97	625	-1
98	333	1
99	333	1
100	540	1
